nct_id,title,overall_status,phase,start_date,enrollment,sponsor_name
NCT03367767,Age-Related Eye Disease Study 2 (AREDS2) 10-year Follow-On,COMPLETED,,2018-05-23,709.0,National Eye Institute (NEI)
NCT02841800,Intra-luminal Radiofrequency Ablation for Inoperable Malignant Biliary Stenosis,COMPLETED,NA,,5.0,National Taiwan University Hospital
NCT06357000,Time From PCI to Cancer Surgery and Cardiovascular and Oncologic Outcomes,COMPLETED,,2008-01-01,3621.0,Samsung Medical Center
NCT03226119,MP Diagnostics HTLV Blot 2.4 Post-Market Clinical Study,COMPLETED,PHASE4,2018-01-15,150.0,"MP Biomedicals, LLC"
NCT03536130,Comparison Between Electronic and Traditional Chest Drainage Systems,UNKNOWN,NA,2017-04-04,382.0,University Hospital Padova
NCT03575767,Characteristics and Dynamics of TCR Repertoire in Patients With Hematological Malignancies After Allo-HSCT,COMPLETED,,2018-05-08,30.0,Affiliated Hospital to Academy of Military Medical Sciences
NCT06242067,Second-line Treatment of Metastatic Colorectal Cancer,RECRUITING,PHASE2,2023-04-23,50.0,Qilu Hospital of Shandong University
NCT02670200,Internet-delivered Psycho-oncological Support,UNKNOWN,NA,2018-04-10,100.0,Neuropsychiatrischen Zentrums Hamburg-Altona
NCT03863028,Development and Validation of a Simulator-based Test in Transurethral Resection of Bladder Tumors,COMPLETED,,2018-03-15,49.0,"Rigshospitalet, Denmark"
NCT00005028,Paclitaxel and Bryostatin 1 in Treating Patients With Metastatic Prostate Cancer,COMPLETED,PHASE2,,46.0,"University of Maryland, Baltimore"
NCT06642428,Effect of Vitamin D Supplementation on the Efficacy and Adverse Effects of Neoadjuvant Therapy in Patients with Breast Cancer,RECRUITING,NA,2024-10-18,140.0,Jiuda Zhao
NCT06276465,Treatment With Darolutamide +/- Radiation Therapy for Patients With a Castration Resistant Cancer and Metastases Detected by Functional Imaging,RECRUITING,PHASE3,2024-10-07,336.0,UNICANCER
NCT00579865,Quality Of Life in Patients With Malignant Biliary Obstruction,COMPLETED,,,124.0,Memorial Sloan Kettering Cancer Center
NCT02600065,Analysis of CMV Infections in Patients With Brain Tumors or Brain Metastases During and After Radio(Chemo)Therapy,COMPLETED,,,350.0,University of Erlangen-Nürnberg Medical School
NCT03883919,Liposomal Irinotecan Plus 5-FU / LV Combined With Paricalcitol in Patients With Advanced Pancreatic Cancer Progressed on Gemcitabine-based Therapy,COMPLETED,PHASE1,2019-07-11,20.0,Washington University School of Medicine
NCT03652519,High-intensity Training and Its Effects on Neuroplasticity,COMPLETED,NA,2018-11-21,72.0,Klinik Valens
NCT06814067,"Phase II Multi-centered Study of Perioperative Ivonescimab Versus Pembrolizumab Combined with Standard of Care (SOC) in Patients with Resectable, Locally Advanced Head and Neck Squamous Cell Carcinoma",NOT_YET_RECRUITING,PHASE2,2025-02-10,80.0,Fudan University
NCT02620800,"Study of 5-fluorouracil (5-FU), Nab®1-paclitaxel, Bevacizumab, Leucovorin, and Oxaliplatin in Patients With Metastatic Pancreatic Cancer",COMPLETED,PHASE1,2016-01-18,12.0,Celgene
NCT05324800,the Efficacy and Safety of Curcuma Longa Extract Mixture on Immune Enhancement,UNKNOWN,NA,2022-02-04,100.0,Chonbuk National University Hospital
NCT00243100,Vorinostat and Gemcitabine in Treating Patients With Metastatic or Unresectable Solid Tumors,COMPLETED,PHASE1,,21.0,National Cancer Institute (NCI)
NCT01075100,Ixabepilone + Carboplatin Metastatic Breast Cancer,COMPLETED,PHASE2,,103.0,US Oncology Research
NCT04345900,Plinabulin vs. Pegfilgrastim in Patients With Solid Tumors Receiving Docetaxel Myelosuppressive Chemotherapy Phase 2,COMPLETED,PHASE2,2017-04-05,55.0,BeyondSpring Pharmaceuticals Inc.
